[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
diag__age_at_diagnosis: NUMBER | Age at the time of diagnosis expressed in number of days since birth.
diag__ajcc_clinical_n: TEXT | Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
diag__ann_arbor_extranodal_involvement: BOOLEAN | Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.
diag__figo_stage: TEXT | The extent of a cervical or endometrial cancer within the body, especially whether the disease has spread from the original site to other parts of the body, as described by the International Federation of Gynecology and Obstetrics (FIGO) stages.
diag__ajcc_pathologic_t: TEXT | Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).
diag__primary_diagnosis: TEXT | Text term used to describe the patient's histologic diagnosis, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
exp__alcohol_history: BOOLEAN | A response to a question that asks whether the participant has consumed at least 12 drinks of any kind of alcoholic beverage in their lifetime.
diag__state: TEXT | The current state of the object.
created_datetime: NUMBER | Timestamp of initial upload of data in GDC; formatted as a combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm].
diag__year_of_diagnosis: NUMBER | Numeric value to represent the year of an individual's initial pathologic diagnosis of cancer.
exp__state: TEXT | The current state of the object.
diag__tissue_or_organ_of_origin: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
demo__age_at_index: NUMBER | The patient's age (in years) on the reference or anchor date date used during date obfuscation.
diag__ajcc_clinical_m: TEXT | Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
demo__created_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
state: TEXT | The current state of the object.
demo__state: TEXT | The current state of the object.
demo__race: TEXT | An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.
updated_datetime: NUMBER | Timestamp of last update in GDC; formatted as a combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm].
diag__ajcc_clinical_stage: TEXT | Stage group determined from clinical information on the tumor (T), regional node (N) and metastases (M) and by grouping cases with similar prognosis for cancer.
diag__secondary_gleason_grade: TEXT | The text term used to describe the secondary Gleason score, which describes the pattern of cells making up the second largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.
submitter_id: TEXT | The submitter_id of a case entity corresponds to the submitted_subject_id of the study participant in dbGaP records for the project.
exp__pack_years_smoked: FLOAT | Numeric computed value to represent lifetime tobacco exposure defined as number of cigarettes smoked per day x number of years smoked divided by 20.
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
diag__treat__count: NUMBER | Total record count in clinical__diag__treat mapping table.
diag__ajcc_pathologic_n: TEXT | The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.
demo__vital_status: TEXT | The survival state of the person registered on the protocol.
exp__cigarettes_per_day: FLOAT | The average number of cigarettes smoked per day.
demo__gender: TEXT | Text designations that identify gender. Gender is described as the assemblage of properties that distinguish people on the basis of their societal roles. [Explanatory Comment 1: Identification of gender is based upon self-report and may come from a form, questionnaire, interview, etc.]
diag__site_of_resection_or_biopsy: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
demo__ethnicity: TEXT | An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.
diag__primary_gleason_grade: TEXT | The text term used to describe the primary Gleason score, which describes the pattern of cells making up the largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.
diag__synchronous_malignancy: BOOLEAN | A yes/no/unknown indicator used to describe whether the patient had an additional malignant diagnosis at the same time the tumor used for sequencing was diagnosed. If both tumors were sequenced, both tumors would have synchronous malignancies.
exp__exposure_id: TEXT | GDC-assigned identifier for a case's exposure data.
diag__prior_malignancy: BOOLEAN | The yes/no/unknown indicator used to describe the patient's history of prior cancer diagnosis.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
demo__days_to_birth: NUMBER | Number of days between the date used for index and the date from a person's date of birth represented as a calculated negative number of days.
diag__morphology: TEXT | The third edition of the International Classification of Diseases for Oncology, published in 2000 used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms. The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs. In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains. A system of numbered categories for representation of data.
diag__igcccg_stage: TEXT | The text term used to describe the International Germ Cell Cancer Collaborative Group (IGCCCG), a grouping used to further classify metastatic testicular tumors.
diag__days_to_diagnosis: NUMBER | Number of days between the date used for index and the date the patient was diagnosed with the malignant disease.
primary_site: TEXT | The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.
diag__days_to_last_follow_up: NUMBER | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days.
diag__ann_arbor_clinical_stage: TEXT | The text term used to describe the clinical classification of lymphoma, as defined by the Ann Arbor Lymphoma Staging System.
diag__ajcc_pathologic_stage: TEXT | The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.
demo__demographic_id: TEXT | GDC-assigned identifier for a case's demographic data.
diag__prior_treatment: BOOLEAN | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received before the body specimen was collected.
demo__year_of_death: NUMBER | Numeric value to represent the year of the death of an individual.
exp__years_smoked: NUMBER | Numeric value (or unknown) to represent the number of years a person has been smoking.

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG19_GDC_R26
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
file_name_key: TEXT | GDC path to original BAM or VCF file
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
index_file_id: TEXT | BAM or VCF index file GDC file UUID, when present
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
file_size: NUMBER | The size of a file measured in bytes
index_file_size: NUMBER | The size of the index file measured in bytes, when present
platform: TEXT | Platform used to generate data (null, Illumina)
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
program_name: TEXT | Program name, eg TCGA or TARGET
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
index_file_name_key: TEXT | GDC path to original vcf or bam index file, when present
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling, etc
access: TEXT | Data accessibility policy (open or controlled)
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A

## TCGA_VERSIONED.DNA_METHYLATION_CHR11_HG38_GDC_2017_01
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba21
probe_id: TEXT | Unique ID for the array probe associated with a CpG site
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-06
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba14
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
beta_value: FLOAT | Represents the ratio between the methylated array intensity and total array intensity, falls between 0 (lower levels of methylation) and 1 (higher levels of methylation)

## TCGA_VERSIONED.CLINICAL_GDC_R31
diag__igcccg_stage: TEXT | The text term used to describe the International Germ Cell Cancer Collaborative Group (IGCCCG), a grouping used to further classify metastatic testicular tumors.
proj__name: TEXT | Display name for the project to which a case belongs.
demo__created_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
exp__created_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__ajcc_clinical_n: TEXT | Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
diag__classification_of_tumor: TEXT | Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint.
diag__primary_diagnosis: TEXT | Text term used to describe the patient's histologic diagnosis, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
diag__ajcc_pathologic_m: TEXT | Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).
diag__days_to_last_follow_up: FLOAT | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days.
diag__state: TEXT | The current state of the object.
exp__years_smoked: FLOAT | Numeric value (or unknown) to represent the number of years a person has been smoking.
diag__tumor_grade: TEXT | Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.
diag__ajcc_staging_system_edition: TEXT | The text term used to describe the version or edition of the American Joint Committee on Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.
diag__ajcc_pathologic_stage: TEXT | The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.
demo__age_at_index: NUMBER | The patient's age (in years) on the reference or anchor date date used during date obfuscation.
diag__ajcc_clinical_m: TEXT | Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
diag__updated_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__age_at_diagnosis: NUMBER | Age at the time of diagnosis expressed in number of days since birth.
diag__icd_10_code: TEXT | Alphanumeric value used to describe the disease code from the tenth version of the International Classification of Disease (ICD-10).
demo__gender: TEXT | Text designations that identify gender. Gender is described as the assemblage of properties that distinguish people on the basis of their societal roles. [Explanatory Comment 1: Identification of gender is based upon self-report and may come from a form, questionnaire, interview, etc.]
diag__ajcc_clinical_t: TEXT | Extent of the primary cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
diag__ann_arbor_b_symptoms: TEXT | Text term to signify whether lymphoma B-symptoms are present as noted in the patient's medical record.
proj__project_id: TEXT | GDC-assigned identifier for the project to which a case belongs.
diag__figo_stage: TEXT | The extent of a cervical or endometrial cancer within the body, especially whether the disease has spread from the original site to other parts of the body, as described by the International Federation of Gynecology and Obstetrics (FIGO) stages.
demo__demographic_id: TEXT | GDC-assigned identifier for a case's demographic data.
diag__year_of_diagnosis: NUMBER | Numeric value to represent the year of an individual's initial pathologic diagnosis of cancer.
diag__ann_arbor_extranodal_involvement: TEXT | Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.
exp__alcohol_history: TEXT | A response to a question that asks whether the participant has consumed at least 12 drinks of any kind of alcoholic beverage in their lifetime.
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
demo__year_of_birth: NUMBER | Numeric value to represent the calendar year in which an individual was born.
demo__state: TEXT | The current state of the object.
submitter_id: TEXT | The submitter_id of a case entity corresponds to the submitted_subject_id of the study participant in dbGaP records for the project.
diag__treat__count: NUMBER | Total record count in cases.diagnoses.treatments mapping table.
diag__site_of_resection_or_biopsy: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
exp__state: TEXT | The current state of the object.
demo__year_of_death: NUMBER | Numeric value to represent the year of the death of an individual.
diag__secondary_gleason_grade: TEXT | The text term used to describe the secondary Gleason score, which describes the pattern of cells making up the second largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.
exp__cigarettes_per_day: FLOAT | The average number of cigarettes smoked per day.
diag__created_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
exp__exposure_id: TEXT | GDC-assigned identifier for a case's exposure data.
demo__days_to_death: NUMBER | Number of days between the date used for index and the date from a person's date of death represented as a calculated number of days.
diag__synchronous_malignancy: TEXT | A yes/no/unknown indicator used to describe whether the patient had an additional malignant diagnosis at the same time the tumor used for sequencing was diagnosed. If both tumors were sequenced, both tumors would have synchronous malignancies.
exp__pack_years_smoked: FLOAT | Numeric computed value to represent lifetime tobacco exposure defined as number of cigarettes smoked per day x number of years smoked divided by 20.
demo__race: TEXT | An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.
demo__vital_status: TEXT | The survival state of the person registered on the protocol.
primary_site: TEXT | The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.
diag__morphology: TEXT | The third edition of the International Classification of Diseases for Oncology, published in 2000 used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms. The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs. In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains. A system of numbered categories for representation of data.
diag__ann_arbor_clinical_stage: TEXT | The text term used to describe the clinical classification of lymphoma, as defined by the Ann Arbor Lymphoma Staging System.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
diag__masaoka_stage: TEXT | The text term used to describe the Masaoka staging system, a classification that defines prognostic indicators for thymic malignancies and predicts tumor recurrence.
diag__ajcc_pathologic_n: TEXT | The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.
diag__progression_or_recurrence: TEXT | Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.
diag__prior_treatment: TEXT | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received before the body specimen was collected.
diag__last_known_disease_status: TEXT | Text term that describes the last known state or condition of an individual's neoplasm.
exp__updated_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
updated_datetime: NUMBER | Timestamp of last update in GDC; formatted as a combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm].
diag__ajcc_clinical_stage: TEXT | Stage group determined from clinical information on the tumor (T), regional node (N) and metastases (M) and by grouping cases with similar prognosis for cancer.
demo__updated_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
state: TEXT | The current state of the object.
diag__ajcc_pathologic_t: TEXT | Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).
diag__primary_gleason_grade: TEXT | The text term used to describe the primary Gleason score, which describes the pattern of cells making up the largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.
diag__tissue_or_organ_of_origin: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
diag__prior_malignancy: TEXT | The yes/no/unknown indicator used to describe the patient's history of prior cancer diagnosis.
demo__days_to_birth: NUMBER | Number of days between the date used for index and the date from a person's date of birth represented as a calculated negative number of days.
demo__ethnicity: TEXT | An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.

## TCGA_VERSIONED.CLINICAL_CPTAC_TCGA_PDC_V1_21
ldh_normal_range_upper: TEXT | The top value of the range of statistical characteristics that are supposed to represent accepted standard, non-pathological pattern for lactate dehydrogenase (units not specified)
race: TEXT | An arbitrary classification of a taxonomic group that is a division of a species; the provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau
days_to_birth: NUMBER | Number of days between the date used for index and the date from a person's date of birth represented as a calculated negative number of days
ajcc_pathologic_t: TEXT | Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC)
days_to_death: NUMBER | Number of days between the date used for index and the date from a person's date of death represented as a calculated number of days
ldh_level_at_diagnosis: TEXT | The 2 decimal place numeric laboratory value measured, assigned or computed related to the assessment of lactate dehydrogenase in a specimen
primary_diagnosis: TEXT | Text term used to describe the patient's histologic diagnosis, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
new_event_anatomic_site: TEXT | Text term to specify the anatomic location of the return of tumor after treatment
days_to_new_event: TEXT | Time interval from the date of new tumor event including progression, recurrence and new primary malignancies to the date of initial pathologic diagnosis, represented as a calculated number of days
demographic_submitter_id: TEXT | Unique identifier deriving from data submitter that is attributed to data for the characterization of the patient by means of segmenting the population (e.g., characterization by age, sex, or race) (e.g. P001-DM)
figo_stage: TEXT | The extent of a cervical or endometrial cancer within the body, especially whether the disease has spread from the original site to other parts of the body, as described by the International Federation of Gynecology and Obstetrics (FIGO) stages
ajcc_pathologic_n: TEXT | The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual
age_at_diagnosis: NUMBER | Age at the time of diagnosis expressed in number of days since birth
vital_status: TEXT | The survival state of the person registered on the protocol
hpv_positive_type: TEXT | Text classification to represent the strain or type of human papillomavirus identified in an individual
days_to_hiv_diagnosis: TEXT | Time interval from the date of the initial pathologic diagnosis to the date of human immunodeficiency diagnosis, represented as a calculated number of days
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
new_event_type: TEXT | Text term to identify a new tumor event
lymph_nodes_positive: TEXT | The number of lymph nodes involved with disease as determined by pathologic examination
days_to_last_follow_up: NUMBER | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days
diagnosis_id: TEXT | Unique identifier for data from the investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation (e.g. e8dd475b-693a-11ea-b1fd-0aad30af8a83)
tissue_or_organ_of_origin: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
days_to_last_known_disease_status: NUMBER | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days
morphology: TEXT | The third edition of the International Classification of Diseases for Oncology, published in 2000 used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms. The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs. In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains. A system of numbered categories for representation of data
ajcc_pathologic_stage: TEXT | The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria
demographic_id: TEXT | Unique identifier attributed to data for the characterization of the patient by means of segmenting the population--for instance, characterization by age, sex, or race (e.g. 848b480c-0f56-11e9-a064-0a9c39d33490)
project_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific project (e.g. CPTAC3-Discovery)
gender: TEXT | Text designations that identify gender; identification is self-reported and may come from a form, questionnaire, interview, etc.
year_of_death: NUMBER | Numeric value to represent the year of the death of an individual
year_of_birth: NUMBER | Numeric value to represent the calendar year in which an individual was born
circumferential_resection_margin: TEXT | Numeric value used to describe the non-peritonealised bare area of rectum, comprising anterior and posterior segments, when submitted as a surgical specimen resulting from excision of cancer of the rectum
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
ethnicity: TEXT | An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino, based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau
primary_site: TEXT | The text term used to describe the general location of the malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
hiv_positive: TEXT | Text term to signify whether a physician has diagnosed HIV infection in a patient
colon_polyps_history: TEXT | Yes/No indicator to describe if the subject had a previous history of colon polyps as noted in the history/physical or previous endoscopic report (s)
tumor_stage: TEXT | The extent of a cancer in the body. Staging is usually based on the size of the tumor, whether lymph nodes contain cancer, and whether the cancer has spread from the original site to other parts of the body. The accepted values for tumor_stage depend on the tumor site, type, and accepted staging system. These items should accompany the tumor_stage value as associated metadata
diagnosis_submitter_id: TEXT | Unique identifier deriving from data submitter attributed to data from the investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation (e.g. 33-DX)
prior_malignancy: BOOLEAN | The yes/no/unknown indicator used to describe the patient's history of prior cancer diagnosis
case_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific patient (e.g. 05BR016)
prior_treatment: BOOLEAN | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received before the body specimen was collected
site_of_resection_or_biopsy: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
hpv_status: TEXT | The findings of the oncogenic HPV
ajcc_pathologic_m: TEXT | Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC)
year_of_diagnosis: TEXT | Numeric value to represent the year of an individual's initial pathologic diagnosis of cancer

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R28
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling, etc
file_size: NUMBER | The size of a file measured in bytes
index_file_id: TEXT | BAM or VCF index file GDC file UUID, when present
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
platform: TEXT | Platform used to generate data (null, Illumina)
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
index_file_size: NUMBER | The size of the index file measured in bytes, when present
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
file_name_key: TEXT | GDC path to original BAM or VCF file
program_name: TEXT | Program name, eg TCGA or TARGET
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
access: TEXT | Data accessibility policy (open or controlled)
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
index_file_name_key: TEXT | GDC path to original vcf or bam index file, when present

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_BREAST_CANCER_PDC_2020_09
aliquot_submitter_id: TEXT | Unique source id provided by the data submitter (e.g. looks like e5e1306b-719e-4c3e-b85b-fd1231_D2)
gene_symbol: TEXT | Gene name (e.g. SORT1)
proteins: TEXT | Semi-colon separated list of protein accessions associated with the gene
aliquot_run_metadata_id: TEXT | Uniquely identifies the aliquot by how it was used in the experiment (based on the labelling reagent and/or biological replicate)
chromosome: TEXT | Chromosome
assays: TEXT | CPTAC Assay accessions for the peptides associated with the gene
aliquot_id: TEXT | Unique PDC identifier associated with the aliquot (e.g. looks like 1c6638dc-d028-11ea-b1fd-0aad30af8a83)
authority_gene_id: TEXT | HGNC Identifier (e.g. 11186)
gene_id: TEXT | UUID for the gene name (e.g. looks like fa986b85-b814-11e8-907f-0a2705229b82)
authority: TEXT | The authority by which the designated gene names are derived-- from HUGO Gene Nomenclature Committee (HGNC), a resource for approved human gene nomenclature
locus: TEXT | Cytogenetic coordinates (e.g.2q37)
sample_id: TEXT | Unique PDC identifier associated with the sample (e.g. looks like 1c64cd8f-d028-11ea-b1fd-0aad30af8a83)
case_id: TEXT | Unique PDC identifier associated with the patient (e.g. looks like 24cb0fcb-63d6-11e8-bcf1-0a2705229b82 )
