[COMPONENTS]
@C1
demo__age_at_index: NUMBER | The patient's age (in years) on the reference or anchor date date used during date obfuscation.
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-21

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_OVARIAN_PNNL_PDC_V1_19
@use: [C11, C5]
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
chromosome: TEXT | NCBI gene chromosome
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
protein_abundance_log2ratio: TEXT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample
gene_description: TEXT | Description of the gene, sourced by PDC from NCBI

## TCGA_VERSIONED.MIRNASEQ_HG38_GDC_R28
@use: [C23]
sample_type_name: TEXT | The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc
project_short_name: TEXT | Project name abbreviation, eg TARGET-AML
aliquot_barcode: TEXT | TARGET aliquot barcode, eg TARGET-20-PAJLIP-01A-01R
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba11
primary_site: TEXT | Anatomical site of the cancer under investigation or review
case_gdc_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode)  --  this can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba11
sample_barcode: TEXT | TARGET sample barcode, eg TARGET-20-PASWAT-09A
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
case_barcode: TEXT | Original TARGET case barcode, eg TARGET-20-PASCGR
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal

## TCGA_VERSIONED.CLINICAL_GDC_R24
@use: [C1, C10, C20, C24]
primary_site: TEXT | The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
diag__ann_arbor_extranodal_involvement: TEXT | Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.

## TCGA_VERSIONED.QUANT_PHOSPHOPROTEOME_TCGA_OVARIAN_PNNL_VELOS_QEXACTIVE_PDC_V1_17
@use: [C11, C35]
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
protein_abundance_log2ratio: TEXT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG19_GDC_R29
@use: [C3, C9]
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
platform: TEXT | Platform used to generate data (null, Illumina)
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
program_name: TEXT | Program name, eg TCGA or TARGET
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads

## TCGA_VERSIONED.DNA_METHYLATION_CHR11_HG19_GDC_2017_01
@use: [C13]
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_BREAST_CANCER_PDC_V1_19
@use: [C11, C5]
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
chromosome: TEXT | NCBI gene chromosome
protein_abundance_log2ratio: TEXT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample
gene_description: TEXT | Description of the gene, sourced by PDC from NCBI

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R25
@use: [C3, C9]
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
program_name: TEXT | Program name, eg TCGA or TARGET
platform: TEXT | Platform used to generate data (null, Illumina)
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R38
@use: [C3, C9]
program_name: TEXT | Program name, e.g. TCGA or TARGET
platform: TEXT | Platform used to generate this data, e.g. Illumina, Affymetrix SNP 6.10
case_barcode: TEXT | Submitter identifier, e.g. HCC1954, TCGA-ZX-AA5X, etc.
file_type: TEXT | File type--e.g. aligned_reads, simple_somatic_mutation, gene_expression, etc.
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation, eg. TCGA-OV, etc.
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), e.g. a1ec9279-c1a6-4e58-97ed-9ec1f36187c5--this can be used to access more information from the GDC data portal
case_gdc_id: TEXT | GDC unique identifier
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)--this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba4
sample_type_name: TEXT | The longer name of the sample type, e.g. Primary Tumor, Recurrent Tumor, etc.
sample_barcode: TEXT | Original/submitter sample ID

## TCGA_VERSIONED.CLINICAL_GDC_R26
@use: [C1, C10, C20, C24]
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
primary_site: TEXT | The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.
diag__ann_arbor_extranodal_involvement: TEXT | Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.

## TCGA_VERSIONED.CLINICAL_GDC_2018_06
@use: [C16, C17, C38]
new_tumor_event_after_initial_treatment: TEXT | Indicates whether a patient has had a new tumor event after initial treatment; Yes, No
weight: FLOAT | Weight of participant in kilograms
program_dbgap_accession_number: TEXT | Program dbGaP accession number, eg phs000178
case_gdc_id: TEXT | GDC unique identifer for this case; e.g. 7b4ce492-ff40-4bf1-b3e8-75ff83e8746d. This identifier can be used to find more information at the GDC Data Portal ( https://portal.gdc.cancer.gov/cases/7b4ce492-ff40-4bf1-b3e8-75ff83e8746d )
number_of_lymphnodes_positive_by_he: NUMBER | The number of lymph nodes involved with disease as determined by histological examination
psa_value: FLOAT | A male participant's Prostrate-Specific Antigen (PSA) value
year_of_initial_pathologic_diagnosis: NUMBER | Four digit year of the initial pathologic diagnosis
disease_code: TEXT | A code representing the type of cancer. Values can be found at https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/TCGA-study-abbreviations; e.g. OV, GBM, LUAD
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; e.g. TCGA-OV, etc.
age_began_smoking_in_years: NUMBER | Age, in years, that the participant began smoking
days_to_submitted_specimen_dx: NUMBER | Numeric value to represent the day of the diagnosis for the submitted sample.
case_barcode: TEXT | TCGA patient/case barcode; e.g. TCGA-06-0119
program_name: TEXT | Program Name, always TCGA (The Cancer Genome Atlas) in this table.
gleason_score_combined: NUMBER | The Gleason Score (ranging from 1 -5) is the grade of the aggressiveness of prostate cancer. The combined Gleason Score is the primary Gleason score  (for the largest area of the tumor) added to the secondary Gleason Score (for the next largest section of the tumor).
project_name: TEXT | Project Name; frequently the same as or similar to the project disease type eg   Acute Lymphoblastic Leukemia - Phase II   or   Breast Invasive Carcinoma   etc
height: FLOAT | Height of participant in centimeters
number_pack_years_smoked: FLOAT | The number of packs smoked per day times the number of years smoked by the participant

## TCGA_VERSIONED.DNA_METHYLATION_CHR20_HG38_GDC_2017_01
@use: [C13]
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba24
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-16
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba31
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_OVARIAN_JHU_PDC_V2_10
@use: [C11, C5]
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
chromosome: TEXT | NCBI gene chromosome
protein_abundance_log2ratio: FLOAT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample
gene_description: TEXT | Description of the gene, sourced by PDC from NCBI

## TCGA_VERSIONED.DNA_METHYLATION_CHRX_HG38_GDC_2017_01
@use: [C13]
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba34
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba41
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-26

## TCGA_VERSIONED.DNA_METHYLATION_CHR1_HG38_GDC_2017_01
@use: [C13]
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba19
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-04
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba12

## TCGA_VERSIONED.MIRNASEQ_ISOFORM_HG19_GDC_2017_02
@use: [C23, C29]
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_gdc_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode), eg 6d10d4ee-6331-4bba-93bc-a7b64cc0b22a  --  this can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/cases/6d10d4ee-6331-4bba-93bc-a7b64cc0b22a
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba18
mirna_transcript: TEXT | Indicates the type of transcript -- either mature, precursor, unannotated, or stemloop  (if this value is not mature, then the mirna_accession field will be null)
mirna_accession: TEXT | One of 2459 unique mature miRNA accession id (eg MIMAT0000062) -- note that this can also be null, in the event that this read does not map to a mature portion of the miRNA
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details

## TCGA_VERSIONED.DNA_METHYLATION_CHR6_HG19_GDC_2017_01
@use: [C13]
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27

## TCGA_VERSIONED.CLINICAL_GDC_R38
@use: [C1, C18, C28]
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__ann_arbor_extranodal_involvement: BOOLEAN | Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
primary_site: TEXT | The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG19_GDC_R26
@use: [C3, C9]
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
platform: TEXT | Platform used to generate data (null, Illumina)
program_name: TEXT | Program name, eg TCGA or TARGET
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A

## TCGA_VERSIONED.DNA_METHYLATION_CHR11_HG38_GDC_2017_01
@use: [C13]
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba21
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-06
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba14
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries

## TCGA_VERSIONED.CLINICAL_GDC_R31
@use: [C1, C10, C18]
diag__ann_arbor_extranodal_involvement: TEXT | Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
primary_site: TEXT | The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).

## TCGA_VERSIONED.CLINICAL_CPTAC_TCGA_PDC_V1_21
@use: [C17, C30, C36, C7]
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)
days_to_last_follow_up: NUMBER | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days
days_to_last_known_disease_status: NUMBER | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
primary_site: TEXT | The text term used to describe the general location of the malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O)

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R28
@use: [C3, C9]
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
platform: TEXT | Platform used to generate data (null, Illumina)
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
program_name: TEXT | Program name, eg TCGA or TARGET
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_BREAST_CANCER_PDC_2020_09
@use: [C11, C5]
chromosome: TEXT | Chromosome
sample_id: TEXT | Unique PDC identifier associated with the sample (e.g. looks like 1c64cd8f-d028-11ea-b1fd-0aad30af8a83)
case_id: TEXT | Unique PDC identifier associated with the patient (e.g. looks like 24cb0fcb-63d6-11e8-bcf1-0a2705229b82 )
description: TEXT | Gene description
protein_abundance_log2ratio: FLOAT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample

## TCGA_VERSIONED.CLINICAL_DIAGNOSIS_TREATMENT_GDC_R38
@use: [C26]
diag__treat__created_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__treat__treatment_or_therapy: BOOLEAN | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
diag__treat__updated_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]

## TCGA_VERSIONED.RADIOLOGY_IMAGES_TCIA_2022_01
@use: [C15]

## TCGA_VERSIONED.COPY_NUMBER_SEGMENT_MASKED_HG38_GDC_2017_02
@use: [C29, C37]
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; e.g. TCGA-OV, etc.
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba16

## TCGA_VERSIONED.DNA_METHYLATION_CHR5_HG19_GDC_2017_01
@use: [C13]
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
